,States,2014-15,White,Black,Hispanic,Asian Pacific Islander ,Asian Pacific Islander,Students with disabil-ities,Limited English Proficient,Economically disadvan-taged
0,United States,83,88,75,78,90.0,72.0,65,65,76
1,Alabama ,89,91,87,90,93.0,90.0,72,75,85
2,Alaska ,76,80,71,72,83.0,64.0,57,56,67
3,Arizona ,77,83,73,73,87.0,67.0,64,34,73
4,Arkansas ,85,87,78,85,86.0,80.0,82,86,82
5,California ,82,88,71,79,92.0,73.0,65,69,78
6,Colorado ,77,83,70,68,87.0,64.0,54,61,66
7,Connecticut ,87,93,78,75,95.0,87.0,66,67,76
8,Delaware ,86,88,83,81,94.0,69.0,66,69,76
10,Florida ,78,83,68,77,91.0,76.0,57,60,70
11,Georgia ,79,83,75,72,88.0,76.0,54,56,75
12,Hawaii ,82,79,74,75,83.0,61.0,60,46,76
13,Idaho,79,81,75,71,84.0,66.0,58,72,72
14,Illinois ,86,90,76,81,94.0,79.0,71,72,78
15,Indiana ,87,90,75,83,88.0,86.0,71,75,84
16,Iowa ,91,92,79,83,92.0,85.0,77,83,85
17,Kansas ,86,88,79,78,91.0,81.0,77,77,77
18,Kentucky ,88,89,80,83,91.0,81.0,66,67,85
19,Louisiana ,78,83,71,75,90.0,76.0,44,50,71
20,Maine ,88,88,80,80,93.0,82.0,74,77,76
21,Maryland ,87,92,82,77,96.0,79.0,64,49,79
22,Massachusetts ,87,92,78,72,92.0,80.0,70,64,78
23,Michigan ,80,84,67,72,90.0,71.0,57,72,68
24,Minnesota ,82,87,62,66,83.0,52.0,61,63,67
25,Mississippi ,81,85,77,81,94.0,82.0,34,68,77
26,Missouri ,88,91,76,84,93.0,86.0,77,71,81
27,Montana ,86,89,82,83,95.0,67.0,75,62,77
28,Nebraska ,89,93,75,82,79.0,76.0,71,55,81
29,Nevada ,71,78,56,67,82.0,58.0,29,32,64
30,New Hampshire ,88,89,80,75,91.0,75.0,73,77,77
31,New Jersey ,90,94,82,83,96.0,89.0,78,74,82
32,New Mexico ,69,74,61,67,79.0,63.0,59,64,64
33,New York ,79,89,67,66,85.0,65.0,53,36,71
34,North Carolina ,86,88,82,80,92.0,82.0,67,58,80
35,North Dakota ,87,91,76,75,78.0,60.0,68,62,71
36,Ohio ,81,86,60,70,86.0,75.0,67,50,69
37,Oklahoma ,83,84,77,79,89.0,82.0,76,60,78
38,Oregon ,74,76,63,67,84.0,55.0,53,51,66
39,Pennsylvania ,85,89,72,70,91.0,76.0,72,63,76
40,Rhode Island ,83,87,77,76,87.0,65.0,68,77,76
41,South Carolina ,80,83,77,77,91.0,80.0,49,76,74
42,South Dakota ,84,90,72,70,81.0,49.0,60,56,67
43,Tennessee ,88,91,81,84,93.0,85.0,70,75,84
44,Texas ,89,93,85,87,95.0,86.0,78,73,86
45,Utah ,85,87,70,74,86.0,70.0,68,66,77
46,Vermont ,88,89,81,82,76.0,,72,69,78
47,Virginia ,86,90,79,76,92.0,,53,45,75
48,Washington ,78,81,69,70,86.0,60.0,58,56,68
49,West Virginia ,87,87,83,83,,71.0,69,86,83
50,Wisconsin ,88,93,64,78,91.0,78.0,68,62,77
51,Wyoming ,79,82,68,72,88.0,45.0,59,64,66
