STATE,RATE,URL
AL,28.4,/nchs/pressroom/states/alabama/alabama.htm
AK,25.8,/nchs/pressroom/states/alaska/alaska.htm
AZ,23.6,/nchs/pressroom/states/arizona/arizona.htm
AR,34.6,/nchs/pressroom/states/arkansas/arkansas.htm
CA,17,/nchs/pressroom/states/california/california.htm
CO,17.8,/nchs/pressroom/states/colorado/colorado.htm
CT,9.4,/nchs/pressroom/states/connecticut/connecticut.htm
DE,19.5,/nchs/pressroom/states/delaware/delaware.htm
FL,19.3,/nchs/pressroom/states/florida/florida.htm
GA,23.6,/nchs/pressroom/states/georgia/georgia.htm
HI,19.2,/nchs/pressroom/states/hawaii/hawaii.htm
ID,20.1,/nchs/pressroom/states/idaho/idaho.htm
IL,18.7,/nchs/pressroom/states/illinois/illinois.htm
IN,23.6,/nchs/pressroom/states/indiana/indiana.htm
IA,17.2,/nchs/pressroom/states/iowa/iowa.htm
KS,21.9,/nchs/pressroom/states/kansas/kansas.htm
KY,30.9,/nchs/pressroom/states/kentucky/kentucky.htm
LA,30.6,/nchs/pressroom/states/louisiana/louisiana.htm
ME,14.7,/nchs/pressroom/states/maine/maine.htm
MD,15.9,/nchs/pressroom/states/maryland/maryland.htm
MA,8.5,/nchs/pressroom/states/massachusetts/massachusetts.htm
MI,17.7,/nchs/pressroom/states/michigan/michigan.htm
MN,12.6,/nchs/pressroom/states/minnesota/minnesota.htm
MS,32.6,/nchs/pressroom/states/mississippi/mississippi.htm
MO,23.4,/nchs/pressroom/states/missouri/missouri.htm
MT,23.7,/nchs/pressroom/states/montana/montana.htm
NE,19.1,/nchs/pressroom/states/nebraska/nebraska.htm
NV,24.2,/nchs/pressroom/states/nevada/nevada.htm
NH,9.3,/nchs/pressroom/states/newhampshire/newhampshire.htm
NJ,11,/nchs/pressroom/states/newjersey/newjersey.htm
NM,29.8,/nchs/pressroom/states/newmexico/newmexico.htm
NY,13.2,/nchs/pressroom/states/newyork/newyork.htm
NC,21.8,/nchs/pressroom/states/northcarolina/northcarolina.htm
ND,20.3,/nchs/pressroom/states/northdakota/northdakota.htm
OH,21.8,/nchs/pressroom/states/ohio/ohio.htm
OK,33.4,/nchs/pressroom/states/oklahoma/oklahoma.htm
OR,16.6,/nchs/pressroom/states/oregon/oregon.htm
PA,15.8,/nchs/pressroom/states/pennsylvania/pennsylvania.htm
RI,12.9,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
SC,23.7,/nchs/pressroom/states/southcarolina/southcarolina.htm
SD,25.1,/nchs/pressroom/states/southdakota/southdakota.htm
TN,28,/nchs/pressroom/states/tenessee/tennessee.htm
TX,31,/nchs/pressroom/states/texas/texas.htm
UT,15.6,/nchs/pressroom/states/utah/utah.htm
VT,10.3,/nchs/pressroom/states/vermont/vermont.htm
VA,15.5,/nchs/pressroom/states/virginia/virginia.htm
WA,16.6,/nchs/pressroom/states/washington/washington.htm
WV,29.3,/nchs/pressroom/states/westvirginia/westvirginia.htm
WI,15,/nchs/pressroom/states/wisconsin/wisconsin.htm
WY,26.1,/nchs/pressroom/states/wyoming/wyoming.htm
