Table 11. ,,States Ranked According to Per Pupil Public Elementary-Secondary School System Finance ,,,,,,,,,,,,,,,,,,,
,,Amounts: Fiscal Year 2014,,,,,,,,,,,,,,,,,,,
"(Dollars. Detail may not add to total because of rounding. For meaning of abbreviations and symbols, see footnotes.)       ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Rank,,Elementary-secondary revenue,,,,,,,,Current spending,,,,,,,,,,,
,,,,,,,,,,,,Instruction,,,,,,,,,
,,,,From federal,,From state,,From local,,,,,,,,Employee,,General,,School,
,,Total,,sources,,sources,,sources,,                   Total 1 ,,                   Total 1 ,,Salaries,,benefits,,administration,,administration,
,,,,,,,,,,,,,,,,,,,,,
,,US..........,"12,775",US..........,"1,093",US..........,"5,970",US..........,"5,712",US..........,"11,003",US..........,"6,654",US..........,"4,378",US..........,"1,691",US..........,210,US..........,602
,,,,,,,,,,,,,,,,,,,,,
1,,DC..........,"29,866",DC..........,"3,003",VT..........,"16,996",DC..........,"26,863",NY..........,"20,607",NY..........,"14,287",NY..........,"8,712",NY..........,"4,658",DC..........,"1,767",DC..........,"1,636"
2,,NY..........,"23,327",AK..........,"2,371",AK..........,"13,976",NY..........,"12,569",DC..........,"18,485",CT..........,"11,031",DC..........,"8,704",AK..........,"4,127",ND..........,536,VT..........,"1,191"
3,,CT..........,"20,577",LA..........,"1,912",HI..........,"12,603",CT..........,"11,650",AK..........,"18,416",NJ..........,"10,391",CT..........,"6,997",CT..........,"3,409",IL..........,518,AK..........,"1,158"
4,,NJ..........,"20,525",HI..........,"1,536",WY..........,"10,409",NJ..........,"11,397",NJ..........,"17,899",AK..........,"10,315",NJ..........,"6,888",NJ..........,"2,779",NH..........,496,CT..........,"1,057"
5,,AK..........,"20,404",ND..........,"1,510",NY..........,"9,480",MA..........,"9,881",CT..........,"17,745",VT..........,"10,165",VT..........,"6,564",VT..........,"2,756",ME..........,453,MD..........,981
,,,,,,,,,,,,,,,,,,,,,
6,,WY..........,"19,098",NM..........,"1,428",MN..........,"9,450",PA..........,"9,694",VT..........,"16,988",DC..........,"9,477",MA..........,"6,343",DE..........,"2,734",PA..........,393,NJ..........,904
