State,State1,Average Rate,American Indian/Alaska Native,Asian/Pacific Islander,Hispanic,Black,White
AL,Alabama,0.871,0.9,0.91,0.87,0.845,0.886
AK,Alaska,0.761,0.64,0.81,0.76,0.74,0.808
AZ,Arizona,0.795,0.677,0.89,0.764,0.755,0.84
AR,Arkansas,0.87,0.87,0.87,0.857,0.815,0.892
CA,California,0.83,0.74,0.929,0.8,0.73,0.88
CO,Colorado,0.789,0.62,0.85,0.699,0.718,0.844
CT,Connecticut,0.874,0.89,0.94,0.764,0.788,0.925
DE,Delaware,0.855,0,0.91,0.81,0.821,0.884
FL,District of Columbia,0.692,0,0.77,0.69,0.677,0.91
GA,Florida,0.807,0.77,0.916,0.795,0.723,0.851
HI,Georgia,0.794,0.69,0.878,0.734,0.762,0.831
ID,Hawaii,0.827,0.72,0.836,0.75,0.78,0.82
IL,Idaho,0.797,0.58,0.8,0.737,0.78,0.814
IN,Illinois,0.855,0.79,0.935,0.813,0.745,0.904
IA,Indiana,0.868,0.83,0.89,0.827,0.738,0.895
KS,Iowa,0.913,0.81,0.91,0.85,0.8,0.929
KY,Kansas,0.857,0.73,0.92,0.792,0.77,0.884
LA,Kentucky,0.886,0.83,0.93,0.82,0.809,0.9
ME,Louisiana,0.786,0.83,0.89,0.73,0.734,0.832
MD,Maine,0.87,0.85,0.94,0.85,0.77,0.875
MA,Maryland,0.876,0.82,0.951,0.765,0.841,0.924
MI,Massachusetts,0.875,0.85,0.927,0.727,0.789,0.919
MN,Michigan,0.797,0.67,0.898,0.726,0.674,0.834
MS,Minnesota,0.822,0.53,0.836,0.653,0.651,0.87
MO,Mississippi,0.823,0.88,0.92,0.82,0.789,0.859
MT,Missouri,0.89,0.86,0.92,0.831,0.79,0.916
NE,Montana,0.856,0.66,0.93,0.8,0.81,0.887
NV,Nebraska,0.893,0.74,0.81,0.818,0.79,0.926
NH,Nevada,0.736,0.65,0.86,0.697,0.565,0.799
NJ,New Hampshire,0.882,0.74,0.92,0.76,0.78,0.892
NM,New Jersey,0.901,0.83,0.967,0.833,0.821,0.942
NY,New Mexico,0.71,0.63,0.81,0.707,0.61,0.757
NC,New York,0.804,0.68,0.867,0.681,0.685,0.893
ND,North Carolina,0.859,0.82,0.934,0.801,0.829,0.886
OH,North Dakota,0.875,0.66,0.88,0.77,0.77,0.908
OK,Ohio,0.835,0.7,0.87,0.728,0.673,0.877
OR,Oklahoma,0.816,0.814,0.86,0.778,0.771,0.832
PA,Oregon,0.748,0.56,0.86,0.694,0.66,0.766
RI,Pennsylvania,0.861,0.77,0.912,0.728,0.732,0.905
SC,Rhode Island,0.828,0.78,0.91,0.79,0.81,0.884
SD,South Carolina,0.826,0.74,0.94,0.799,0.803,0.841
TN,South Dakota,0.839,0.51,0.79,0.73,0.77,0.893
TX,Tennessee,0.885,0.86,0.93,0.837,0.823,0.913
UT,Texas,0.891,0.87,0.954,0.869,0.854,0.934
VT,Utah,0.852,0.71,0.87,0.751,0.74,0.879
VA,Vermont,0.877,0,0.83,0.89,0.71,0.884
WA,Virginia,0.867,0,0.931,0.748,0.813,0.907
WV,Washington,0.797,0.63,0,0.728,0.713,0.822
WI,West Virginia,0.898,0,,0.89,0.88,0.899
WY,Wisconsin,0.882,0.78,0.89,0.799,0.642,0.927
,Wyoming,0.8,0.53,0.84,0.74,0.81,0.82
