State,Spending per Student
DC,29865.6
NY,23326.89
CT,20576.57
NJ,20525.21
AK,20403.77
WY,19098.34
VT,19008.75
MA,17896.06
PA,17222.71
RI,16948.19
MD,16145.69
NH,15923.8
DE,15791.15
ND,14816.78
IL,14756.21
ME,14604.36
HI,14434.72
OH,14000.97
MN,13693.45
MI,12855.62
NE,12773.46
WI,12716.48
LA,12507.53
WV,12497.15
IA,12346.35
WA,12236.96
IN,12063.77
MT,11889.51
VA,11846.67
KS,11717.66
OR,11602.41
SC,11524.33
MO,11381.96
CA,11222.72
NM,11025.66
AR,10785.03
TX,10629.22
CO,10537.69
KY,10525.46
GA,10486.16
SD,10278.19
AL,9938.84
NV,9641.57
FL,9627.94
NC,9340.11
TN,9283.89
MS,9072.14
OK,9002.55
AZ,8786.17
UT,7714.19
ID,7405.57
