State,STATE1,AVERAGE STARTING SALARY,AVERAGE SALARY
AL,Alabama,36198,47949
AK,Alaska,44166,65468
AZ,Arkansas,32691,46632
AR,Arizona,31874,49885
CA,California,41259,69324
CO,Colorado,32126,49844
CT,Connecticut,42924,69766
DE,District of Columbia,51539,70906
FL,Delaware,39338,59679
GA,Florida,35166,46944
HI,Georgia,33664,52880
ID,Hawaii,41027,54300
IL,Iowa,33226,51528
IN,Idaho,31159,49734
IA,Illinois,37166,59113
KS,Indiana,34696,51456
KY,Kansas,33386,47464
LA,Kentucky,35166,50326
ME,Louisiana,38655,51381
MD,Massachusetts,40600,73129
MA,Maryland,43235,65265
MI,Maine,31835,48119
MN,Michigan,35901,61560
MS,Minnesota,34505,56268
MO,Missouri,30064,47517
MT,Mississippi,31184,41994
NE,Montana,27274,49999
NV,North Carolina,30778,45947
NH,North Dakota,32019,47344
NJ,Nebraska,30844,48931
NM,New Hampshire,34280,55599
NY,New Jersey,48631,68797
NC,New Mexico,31960,46573
ND,Nevada,35358,55957
OH,New York,43839,75279
OK,Ohio,33096,58092
OR,Oklahoma,31606,44128
PA,Oregon,33549,58758
RI,Pennsylvania,41901,63521
SC,Rhode Island,39196,63474
SD,South Carolina,32306,47924
TN,South Dakota,29851,39580
TX,Tennessee,34098,48289
UT,Texas,38091,48110
VT,Utah,33081,49393
VA,Virginia,37848,49869
WA,Vermont,35541,52526
WV,Washington,36335,53571
WI,Wisconsin,33546,55171
WY,West Virginia,32533,46405
,Wyoming,43269,57920
