,,,2014-15,White,Black,Hispanic,"Asian/PacificIslander\2\","AmericanIndian/AlaskaNative",Students with disabil-ities\3\,Limited English profi-cient\4\,Economically disadvan-taged\5\
United States,,,83,88,75,78,90,72,65,65,76
Alabama ,,,89,91,87,90,93,90,72,75,85
Alaska ,,,76,80,71,72,83,64,57,56,67
Arizona ,,,77,83,73,73,87,67,64,34,73
Arkansas ,,,85,87,78,85,86,80,82,86,82
California ,,,82,88,71,79,92,73,65,69,78
Colorado ,,,77,83,70,68,87,64,54,61,66
Connecticut ,,,87,93,78,75,95,87,66,67,76
Delaware ,,,86,88,83,81,94,69,66,69,76
District of Columbia ,,,69,86,67,68,79,,46,62,68
Florida ,,,78,83,68,77,91,76,57,60,70
Georgia ,,,79,83,75,72,88,76,54,56,75
Hawaii ,,,82,79,74,75,83,61,60,46,76
Idaho,,,79,81,75,71,84,66,58,72,72
Illinois ,,,86,90,76,81,94,79,71,72,78
Indiana ,,,87,90,75,83,88,86,71,75,84
Iowa ,,,91,92,79,83,92,85,77,83,85
Kansas ,,,86,88,79,78,91,81,77,77,77
Kentucky ,,,88,89,80,83,91,81,66,67,85
Louisiana ,,,78,83,71,75,90,76,44,50,71
Maine ,,,88,88,80,80,93,82,74,77,76
Maryland ,,,87,92,82,77,96,79,64,49,79
Massachusetts ,,,87,92,78,72,92,80,70,64,78
Michigan ,,,80,84,67,72,90,71,57,72,68
Minnesota ,,,82,87,62,66,83,52,61,63,67
Mississippi ,,,81,85,77,81,94,82,34,68,77
Missouri ,,,88,91,76,84,93,86,77,71,81
Montana ,,,86,89,82,83,95,67,75,62,77
Nebraska ,,,89,93,75,82,79,76,71,55,81
Nevada ,,,71,78,56,67,82,58,29,32,64
New Hampshire ,,,88,89,80,75,91,75,73,77,77
New Jersey ,,,90,94,82,83,96,89,78,74,82
New Mexico ,,,69,74,61,67,79,63,59,64,64
New York ,,,79,89,67,66,85,65,53,36,71
North Carolina ,,,86,88,82,80,92,82,67,58,80
North Dakota ,,,87,91,76,75,78,60,68,62,71
Ohio ,,,81,86,60,70,86,75,67,50,69
Oklahoma ,,,83,84,77,79,89,82,76,60,78
Oregon ,,,74,76,63,67,84,55,53,51,66
Pennsylvania ,,,85,89,72,70,91,76,72,63,76
Rhode Island ,,,83,87,77,76,87,65,68,77,76
South Carolina ,,,80,83,77,77,91,80,49,76,74
South Dakota ,,,84,90,72,70,81,49,60,56,67
Tennessee ,,,88,91,81,84,93,85,70,75,84
Texas ,,,89,93,85,87,95,86,78,73,86
Utah ,,,85,87,70,74,86,70,68,66,77
Vermont ,,,88,89,81,82,76,>=50,72,69,78
Virginia ,,,86,90,79,76,92,---,53,45,75
Washington ,,,78,81,69,70,86,60,58,56,68
West Virginia ,,,87,87,83,83,>=95,71,69,86,83
Wisconsin ,,,88,93,64,78,91,78,68,62,77
Wyoming ,,,79,82,68,72,88,45,59,64,66
